"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_ORC.cladeReads"	"C001_FD2_TZO.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_ORC.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.82_ORC.cladeReads"	"C002_R.82_TZO.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_ORC.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_ORC.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.82_ORC.cladeReads"	"C004_R.82_TZO.cladeReads"	"lineage"
"Stenotrophomonas sp. 17(2023)"	"S"	3051123	101	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	101	NA	NA	2	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Stenotrophomonas>unclassified&nbsp;Stenotrophomonas"
"Stenotrophomonas sp. CW117"	"S"	2775920	317	NA	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	12	NA	NA	NA	7	317	NA	NA	NA	NA	NA	NA	NA	36	NA	1	NA	NA	1	2	NA	NA	NA	1	34	1	NA	1	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Stenotrophomonas>unclassified&nbsp;Stenotrophomonas"
"Stenotrophomonas sp. 59"	"S"	3051120	3953	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56	NA	NA	NA	NA	NA	45	NA	8	NA	NA	2	13	4	NA	5	NA	NA	3953	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	157	NA	14	NA	43	NA	31	NA	NA	NA	NA	NA	5	8	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Stenotrophomonas>unclassified&nbsp;Stenotrophomonas"
"Stenotrophomonas sp. NY11291"	"S"	2939415	19269	NA	NA	NA	NA	NA	7	1	NA	NA	5	1	NA	NA	5	2	NA	4	NA	1	NA	NA	NA	NA	NA	NA	33	NA	NA	NA	2	NA	NA	5	NA	4	1	7	19269	17	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	16	NA	19	NA	NA	NA	1	NA	NA	NA	5	2	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Stenotrophomonas>unclassified&nbsp;Stenotrophomonas"
"Stenotrophomonas sp. WZN-1"	"S"	2005046	12119	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	12	NA	NA	7	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	1	12119	4	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	12	NA	NA	2	NA	NA	11	23	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Stenotrophomonas>unclassified&nbsp;Stenotrophomonas"
"Xanthomonas sacchari"	"S"	56458	130	NA	NA	NA	NA	NA	130	NA	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	1	NA	12	NA	8	65	27	73	NA	33	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas"
"Xanthomonas sp. CFBP 8445"	"S"	2971236	30	NA	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	4	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas>unclassified&nbsp;Xanthomonas"
"Xanthomonas sp. AM6"	"S"	2982531	22	NA	NA	NA	NA	NA	22	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas>unclassified&nbsp;Xanthomonas"
"Xanthomonas sp. MLO165"	"S"	2081477	23	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas>unclassified&nbsp;Xanthomonas"
"Xanthomonas perforans"	"S"	442694	69	NA	NA	NA	NA	NA	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas"
"Xanthomonas vesicatoria"	"S"	56460	74	NA	NA	NA	NA	NA	44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	NA	NA	9	NA	NA	NA	NA	74	NA	NA	NA	4	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas"
"Xanthomonas hawaiiensis"	"S"	3003247	29	NA	NA	NA	NA	NA	29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas"
"Xanthomonas rydalmerensis"	"S"	3046274	56	NA	NA	NA	NA	NA	21	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas"
"Xanthomonas euvesicatoria"	"S"	456327	149	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	6	NA	NA	1	NA	NA	NA	7	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	149	NA	48	NA	NA	NA	NA	NA	15	NA	NA	4	NA	NA	1	8	8	17	NA	NA	NA	NA	NA	NA	3	7	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas"
"Xanthomonas vasicola"	"S"	56459	232	NA	NA	NA	NA	NA	9	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	232	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas"
"Xanthomonas prunicola"	"S"	2053930	27	NA	NA	NA	NA	NA	6	NA	25	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	5	2	27	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas"
"Xanthomonas cucurbitae"	"S"	56453	239	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	3	NA	NA	239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Xanthomonas"
"Lysobacter sp. 5GHs7-4"	"S"	2904253	229	NA	NA	NA	NA	NA	56	1	NA	NA	NA	NA	NA	1	NA	NA	15	NA	NA	NA	NA	1	NA	1	1	NA	NA	NA	12	NA	NA	NA	NA	NA	NA	5	NA	NA	229	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter>unclassified&nbsp;Lysobacter"
"Lysobacter sp. KIS68-7"	"S"	2904252	34	NA	NA	NA	NA	NA	23	NA	11	NA	10	NA	NA	NA	4	NA	NA	6	NA	NA	NA	NA	NA	NA	22	1	1	NA	6	NA	NA	NA	NA	3	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	6	NA	NA	3	NA	NA	NA	34	4	NA	NA	2	NA	9	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter>unclassified&nbsp;Lysobacter"
"Lysobacter sp. FW306-1B-D06B"	"S"	3140250	22	NA	NA	NA	NA	NA	22	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter>unclassified&nbsp;Lysobacter"
"Lysobacter sp. K5869"	"S"	2820808	25	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter>unclassified&nbsp;Lysobacter"
"Lysobacter sp. S4-A87"	"S"	2925843	20	NA	NA	NA	NA	NA	4	NA	NA	2	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	14	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2	NA	4	NA	NA	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter>unclassified&nbsp;Lysobacter"
"Lysobacter avium"	"S"	2781023	27	NA	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter"
"Lysobacter alkalisoli"	"S"	2591633	144	NA	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	5	NA	NA	1	NA	NA	144	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter"
"Lysobacter auxotrophicus"	"S"	2992573	35	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	15	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter"
"Lysobacter ciconiae"	"S"	2781022	6	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter"
"Lysobacter yananisis"	"S"	1003114	4	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Lysobacter"
"Thermomonas sp. HDW16"	"S"	2714945	52	NA	NA	NA	NA	NA	52	NA	NA	1	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	21	NA	NA	NA	NA	10	10	6	NA	NA	NA	NA	11	NA	NA	50	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	1	8	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae>Thermomonas>unclassified&nbsp;Thermomonas"
"Dyella sp. BiH032"	"S"	3075430	244	NA	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Rhodanobacteraceae>Dyella>unclassified&nbsp;Dyella"
"Dyella telluris"	"S"	2763498	55	NA	NA	NA	NA	NA	16	NA	NA	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	55	NA	NA	1	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Rhodanobacteraceae>Dyella"
"Dyella thiooxydans"	"S"	445710	9	NA	NA	NA	NA	NA	9	7	NA	NA	4	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Rhodanobacteraceae>Dyella"
"Luteibacter anthropi"	"S"	564369	57	NA	NA	NA	NA	NA	9	57	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Rhodanobacteraceae>Luteibacter"
"Rhodanobacter thiooxydans"	"S"	416169	78	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	9	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	2	NA	1	78	NA	NA	NA	11	NA	2	3	NA	NA	NA	37	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	1	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Rhodanobacteraceae>Rhodanobacter"
"Rhodanobacter glycinis"	"S"	582702	48	NA	NA	NA	NA	NA	8	NA	NA	NA	36	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	48	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Rhodanobacteraceae>Rhodanobacter"
"Candidatus Nitrosacidococcus sp. I8"	"S"	2942908	7	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Chromatiales>Chromatiaceae>Candidatus&nbsp;Nitrosacidococcus>unclassified&nbsp;Candidatus&nbsp;Nitrosacidococcus"
"Alkalilimnicola ehrlichii"	"S"	351052	177	NA	NA	NA	NA	NA	4	NA	NA	NA	29	33	NA	NA	4	3	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	146	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	18	NA	NA	NA	NA	NA	NA	15	14	1	NA	4	NA	1	NA	NA	NA	NA	177	NA	NA	NA	2	NA	2	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Chromatiales>Ectothiorhodospiraceae>Alkalilimnicola"
"Wenzhouxiangella marina"	"S"	1579979	147	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	147	NA	NA	NA	NA	25	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	5	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Chromatiales>Wenzhouxiangellaceae>Wenzhouxiangella"
"Candidatus Thiodiazotropha sp. CDECU1"	"S"	3065865	10	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Chromatiales>Sedimenticolaceae>Candidatus&nbsp;Thiodiazotropha"
"Vibrio rotiferianus"	"S"	190895	23	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>Vibrio&nbsp;harveyi&nbsp;group"
"Vibrio tarriae"	"S"	2014742	25	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio metoecus"	"S"	1481663	121	NA	NA	NA	NA	NA	19	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	6	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	121	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio sp. 16"	"S"	391586	9	NA	NA	NA	NA	NA	4	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>unclassified&nbsp;Vibrio"
"Vibrio sp. gvc"	"S"	2993714	39	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	39	NA	NA	NA	6	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>unclassified&nbsp;Vibrio"
"Vibrio cidicii"	"S"	1763883	7	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Vibrio gazogenes"	"S"	687	7	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
